,last_name,first_name,initials,affiliation,affiliation_date,publication_title,name
0,Nguyen,Thu-Thuy,TT,"Department of Veterinary Pathobiology, School of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, Texas, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Nguyen, Thu-Thuy"
1,Kim,Tae Heung,TH,"Department of Veterinary Pathobiology, School of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, Texas, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Kim, Tae Heung"
2,Bencosme-Cuevas,Emily,E,"Department of Veterinary Pathobiology, School of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, Texas, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Bencosme-Cuevas, Emily"
3,Berry,Jacquie,J,"Department of Veterinary Pathobiology, School of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, Texas, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Berry, Jacquie"
4,Gaithuma,Alex Samuel Kiarie,ASK,"Department of Veterinary Pathobiology, School of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, Texas, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Gaithuma, Alex Samuel Kiarie"
5,Ansari,Moiz Ashraf,MA,"Department of Veterinary Pathobiology, School of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, Texas, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Ansari, Moiz Ashraf"
6,Kim,Tae Kwon,TK,"Department of Diagnostic Medicine/Pathobiology, College of Veterinary Medicine, Kansas State University, Manhattan, Kansas, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Kim, Tae Kwon"
7,Tirloni,Lucas,L,"Tick-Pathogen Transmission Unit, Laboratory of Bacteriology, NIAID, Hamilton, Montana, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Tirloni, Lucas"
8,Radulovic,Zeljko,Z,"Department of Biology, Stephen F. Austin State University, Nacogdoches, Texas, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Radulovic, Zeljko"
9,Moresco,James J,JJ,"Center for Genetics of Host Defense, UT Southwestern Medical Center, Dallas, Texas, United States of America.",2024-02-23,"A tick saliva serpin, IxsS17 inhibits host innate immune system proteases and enhances host colonization by Lyme disease agent.","Moresco, James J"
